playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Calypso,Harry Belafonte,Banana Boat (Day-O),spotify:track:4fHDlIntTsRGSyTg5UYZYC,"1 or 11? Its Aces, Charles!"
Calypso,Harry Belafonte,Banana Boat (Day-O),spotify:track:4fHDlIntTsRGSyTg5UYZYC,Missing Her
Careless Love,Madeleine Peyroux,Between The Bars,spotify:track:1MLvc7jAgCTIqVbI2Hr2uE,Missing Her
Careless Love,Madeleine Peyroux,Between The Bars,spotify:track:1MLvc7jAgCTIqVbI2Hr2uE,Rock Paper Scissors
Carry On,The Score,Fire,spotify:track:3NjnjF26CQer9yRTNDfvqQ,The Knew
Carry On,Young Rising Sons,Carry On,spotify:track:4dpD3TDufxz2rQ9JLkYPgV,Missing Her
Changes,Charles Bradley,Changes,spotify:track:1fOc4Kf82a6J1C9gS5sE0d,The Knew
Cherry Pie,Warrant,Cherry Pie,spotify:track:7LygtNjQ65PSdzVjUnHXQb,Rock Paper Scissors
Choke,I DONT KNOW HOW BUT THEY FOUND ME,Choke,spotify:track:37mfTcSlX60JtAvAETytGs,Missing Her
Chuck,Tim Jones,Action Theme,spotify:track:2PhQJp8rfzNHllBS9vmK01,"1 or 11? Its Aces, Charles!"
Cold Blood,Dave Not Dave,Cold Blood,spotify:track:6UeE8WZ4NPrfIfSublcyta,The Knew
Combat Rock (Remastered),The Clash,Should I Stay or Should I Go - Remastered,spotify:track:39shmbIHICJ2Wxnk1fPSdz,I Will Survive
Combat Rock (Remastered),The Clash,Should I Stay or Should I Go - Remastered,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Rock Paper Scissors
Come Clean,Puddle Of Mudd,She Hates Me,spotify:track:16DhvbuyvJob4Q9GHNYu2n,Missing Her
Comfort Eagle,CAKE,Love You Madly,spotify:track:5jhfa76FhqtD3Boij6MAKS,Missing Her
Comfort Eagle,CAKE,Love You Madly,spotify:track:5jhfa76FhqtD3Boij6MAKS,Perfect Playlist Pt 2
Comfort Eagle,CAKE,Short Skirt / Long Jacket,spotify:track:3OOFEF20WqtsUPcRbPY3L7,"1 or 11? Its Aces, Charles!"
Comfort Eagle,CAKE,Short Skirt / Long Jacket,spotify:track:3OOFEF20WqtsUPcRbPY3L7,I Will Survive
Comfort Eagle,CAKE,Short Skirt / Long Jacket,spotify:track:3OOFEF20WqtsUPcRbPY3L7,Perfect Playlist Pt 2
Community (Music from the Original Television Series),The 88,"At Least It Was Here (""Community"" Main Title) [Full Length Version]",spotify:track:5HYHGYx3Yl0B344J6eAdgF,"1 or 11? Its Aces, Charles!"
Community (Music from the Original Television Series),The 88,"At Least It Was Here (""Community"" Main Title) [Full Length Version]",spotify:track:5HYHGYx3Yl0B344J6eAdgF,Perfect Playlist Pt 2
Community (Music from the Original Television Series),The 88,"At Least It Was Here (""Community"" Main Title) [Full Length Version]",spotify:track:5HYHGYx3Yl0B344J6eAdgF,The Knew
Concrete and Gold,Foo Fighters,The Sky Is A Neighborhood,spotify:track:3kdMzXOcrDIdSWLdONHNK5,The Knew
Contraband,Velvet Revolver,Slither,spotify:track:7kF1iPJTj3VFJX9XokQ80F,Rock Paper Scissors
Costello Music,The Fratellis,Chelsea Dagger,spotify:track:3ItzRpwvKtkDSNdRSjXu7Z,Perfect Playlist Pt 2
Crooked Teeth,Papa Roach,Born For Greatness,spotify:track:5cRPdqpWkaNmIbPi6wJDg2,The Knew
Crooked Teeth,Papa Roach,Help,spotify:track:6EaGMOSWL2LndwY6gClBaD,The Knew
