danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,neg,neu,pos
0.639,0.493,6,-9.363,1,0.0668,0.0187,5.38e-05,0.522,0.262,134.976,196000,4,,,
0.765,0.58,1,-7.582,1,0.471,0.177,0.0,0.162,0.785,63.576,220157,4,,,
0.765,0.58,1,-7.582,1,0.471,0.177,0.0,0.162,0.785,63.576,220157,4,,,
0.752,0.437,9,-7.594,1,0.0466,0.0691,0.00213,0.14,0.366,98.541,193914,4,,,
0.752,0.437,9,-7.594,1,0.0466,0.0691,0.00213,0.14,0.366,98.541,193914,4,,,
0.745,0.457,1,-9.619,1,0.0424,0.541,0.00856,0.106,0.382,124.021,319622,4,,,
0.745,0.457,1,-9.619,1,0.0424,0.541,0.00856,0.106,0.382,124.021,319622,4,,,
0.683,0.643,11,-8.837,0,0.155,0.0353,0.000206,0.159,0.338,163.941,196572,4,,,
0.683,0.643,11,-8.837,0,0.155,0.0353,0.000206,0.159,0.338,163.941,196572,4,,,
0.568,0.569,0,-10.054,1,0.0665,0.0227,2.51e-05,0.285,0.397,139.545,180925,4,,,
0.568,0.569,0,-10.054,1,0.0665,0.0227,2.51e-05,0.285,0.397,139.545,180925,4,,,
0.667,0.693,2,-7.526,1,0.335,0.714,0.0,0.107,0.938,84.667,81241,4,,,
0.667,0.693,2,-7.526,1,0.335,0.714,0.0,0.107,0.938,84.667,81241,4,,,
0.596,0.491,1,-9.554,0,0.16,0.396,9.07e-06,0.152,0.187,165.846,147360,4,0.0,0.744,0.256
0.596,0.491,1,-9.554,0,0.16,0.396,9.07e-06,0.152,0.187,165.846,147360,4,0.0,0.744,0.256
0.771,0.88,1,-7.022,1,0.0418,0.000148,1.46e-06,0.0968,0.545,120.0,348693,4,,,
0.771,0.88,1,-7.022,1,0.0418,0.000148,1.46e-06,0.0968,0.545,120.0,348693,4,,,
0.74,0.63,7,-7.955,0,0.175,0.162,4.3e-06,0.205,0.517,130.041,213603,4,,,
0.74,0.63,7,-7.955,0,0.175,0.162,4.3e-06,0.205,0.517,130.041,213603,4,,,
0.431,0.773,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,270927,4,,,
0.431,0.773,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,270927,4,,,
0.411,0.618,4,-4.964,0,0.0469,0.109,0.0,0.279,0.211,120.734,289309,4,,,
0.411,0.618,4,-4.964,0,0.0469,0.109,0.0,0.279,0.211,120.734,289309,4,,,
0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760,4,,,
0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760,4,,,
0.877,0.572,11,-8.001,0,0.304,0.559,0.0,0.093,0.793,135.988,164118,4,,,
0.877,0.572,11,-8.001,0,0.304,0.559,0.0,0.093,0.793,135.988,164118,4,,,
0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,469831,4,,,
0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,469831,4,,,
0.665,0.488,0,-4.711,0,0.327,0.391,0.000647,0.0952,0.549,151.582,149320,4,0.037,0.756,0.207
0.665,0.488,0,-4.711,0,0.327,0.391,0.000647,0.0952,0.549,151.582,149320,4,0.037,0.756,0.207
0.288,0.215,11,-13.12,1,0.0628,0.969,0.0181,0.0957,0.137,75.774,188557,5,,,
0.288,0.215,11,-13.12,1,0.0628,0.969,0.0181,0.0957,0.137,75.774,188557,5,,,
0.704,0.791,9,-4.776,1,0.175,0.859,0.0,0.225,0.543,98.026,197825,4,,,
0.704,0.791,9,-4.776,1,0.175,0.859,0.0,0.225,0.543,98.026,197825,4,,,
0.571,0.536,10,-10.317,0,0.057,0.27,0.0306,0.34,0.465,152.125,186000,4,0.0,0.76,0.24
0.571,0.536,10,-10.317,0,0.057,0.27,0.0306,0.34,0.465,152.125,186000,4,0.0,0.76,0.24
0.638,0.599,1,-4.868,1,0.0334,0.195,0.14,0.106,0.284,169.1,184269,4,,,
0.638,0.599,1,-4.868,1,0.0334,0.195,0.14,0.106,0.284,169.1,184269,4,,,
0.666,0.39,5,-8.575,1,0.0838,0.272,9.39e-06,0.111,0.325,113.866,209885,4,0.077,0.702,0.221
0.666,0.39,5,-8.575,1,0.0838,0.272,9.39e-06,0.111,0.325,113.866,209885,4,0.077,0.702,0.221
0.766,0.425,5,-11.033,0,0.379,0.442,0.000208,0.171,0.63,77.104,214500,4,,,
0.766,0.425,5,-11.033,0,0.379,0.442,0.000208,0.171,0.63,77.104,214500,4,,,
0.553,0.616,2,-6.08,1,0.32,0.907,0.0,0.0773,0.324,81.608,206415,4,,,
0.553,0.616,2,-6.08,1,0.32,0.907,0.0,0.0773,0.324,81.608,206415,4,,,
0.473,0.477,0,-8.078,0,0.249,0.224,0.0,0.265,0.678,183.722,203653,4,0.119,0.703,0.179
0.473,0.477,0,-8.078,0,0.249,0.224,0.0,0.265,0.678,183.722,203653,4,0.119,0.703,0.179
0.781,0.826,8,-3.088,0,0.0393,0.0219,0.0,0.378,0.78,102.977,209448,4,,,
0.781,0.826,8,-3.088,0,0.0393,0.0219,0.0,0.378,0.78,102.977,209448,4,,,
0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,209831,4,0.051,0.667,0.282
0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,209831,4,0.051,0.667,0.282
0.621,0.648,2,-8.465,1,0.25,0.0544,0.0,0.739,0.503,81.064,193187,4,,,
0.621,0.648,2,-8.465,1,0.25,0.0544,0.0,0.739,0.503,81.064,193187,4,,,
0.472,0.55,1,-7.58,1,0.261,0.559,0.000137,0.144,0.217,92.302,249351,5,0.038,0.89,0.072
0.472,0.55,1,-7.58,1,0.261,0.559,0.000137,0.144,0.217,92.302,249351,5,0.038,0.89,0.072
0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002,275080,4,0.129,0.641,0.23
0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002,275080,4,0.129,0.641,0.23
0.803,0.69,3,-5.89,1,0.269,0.0781,0.0,0.117,0.444,103.985,242200,4,,,
0.803,0.69,3,-5.89,1,0.269,0.0781,0.0,0.117,0.444,103.985,242200,4,,,
0.387,0.505,7,-8.579,1,0.247,0.259,0.000133,0.564,0.158,84.942,350912,4,0.092,0.732,0.176
0.387,0.505,7,-8.579,1,0.247,0.259,0.000133,0.564,0.158,84.942,350912,4,0.092,0.732,0.176
0.784,0.663,7,-5.088,1,0.0537,0.0428,0.0,0.0457,0.392,144.003,227254,4,,,
0.784,0.663,7,-5.088,1,0.0537,0.0428,0.0,0.0457,0.392,144.003,227254,4,,,
0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,243238,4,,,
0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,243238,4,,,
0.681,0.621,1,-10.024,1,0.34,0.036,0.00555,0.138,0.428,135.538,298027,4,,,
0.681,0.621,1,-10.024,1,0.34,0.036,0.00555,0.138,0.428,135.538,298027,4,,,
0.623,0.785,2,-6.479,1,0.247,0.37,0.00494,0.413,0.476,75.056,217440,4,0.019,0.906,0.075
